inventory,writer,count,source,destination,year,date,r_date,language,notes
CL_183-19,"Languet, Hubert",1,Cologne,Antwerp,1578,15781009,NA,French,
CL_183-20,"Languet, Hubert",1,Ghent,Antwerp,1578,15781224,NA,French,"Location is unclear, but must be from Cologne where other letter was from"
DvdM_350-01,"Oudenforte, R.",1,Lier,Antwerp,1580,15800402,NA,,
DvdM_334-01,"Burmania, Dominiques de",1,Duisburg,Cologne,1580,15801010,NA,French,
DvdM_305-01,"Albada, Aggaeus de",1,Cologne,Antwerp,1582,15820318,NA,Latin,
DvdM_305-02,"Albada, Aggaeus de",1,Cologne,Antwerp,1582,15820729,NA,Latin,
DvdM_548-01,"Goyvaerts, Hendrick",1,Frankfurt,Antwerp,1582,15820922,NA,,
DvdM_334-02,"Burmania, Dominiques de",1,Haarlem,Antwerp,1582,15820923,NA,,
DvdM_305-03,"Albada, Aggaeus de",1,Cologne,Antwerp,1582,15821028,NA,Latin,
DvdM_334-03,"Burmania, Dominiques de",1,Haarlem,Antwerp,1582,15821218,NA,,
DvdM_305-04,"Albada, Aggaeus de",1,Cologne,Antwerp,1582,15821223,NA,Latin,
DvdM_305-05,"Albada, Aggaeus de",1,Cologne,Antwerp,1583,15830127,NA,Latin,
DvdM_438-01,"Moyen, Rodericus der",1,NA,Antwerp,1583,15830202,NA,Latin,Sent from an unknown location
DvdM_657-01,"Banos, Theophile de",1,Frankfurt,Antwerp,1583,15830929,NA,French,Old style
CL_183-02,"Lempereur, Antonio",1,Cologne,Antwerp,1584,15840130,NA,French,
CL_183-03,"Lempereur, Antonio",1,Cologne,Antwerp,1584,15840205,NA,French,
CL_183-04,"Lempereur, Antonio",1,Cologne,Antwerp,1584,15840226,NA,French,
DvdM_237-02,Staten van Brabant,1,Antwerp,Middelburg,1584,15840824,NA,Dutch,RGP-3
DvdM_239-08,"Lare, J. van",1,Middelburg,Middelburg,1584,15840829,NA,,RGP-4. Sent Daniel a letter while he was in Middelburg acting as representative of States of Brabant.
DvdM_239-11,Staten van Brabant,1,Antwerp,Middelburg,1584,15840901,NA,Dutch,RGP-5
DvdM_239-12,Staten van Brabant,1,Antwerp,Middelburg,1584,15840903,NA,French,RGP-6
DvdM_238-01,Staten van Brabant,1,Antwerp,Delft,1584,15840906,NA,French,RGP-7
CL_186-004,"Meulen, Andries van der",1,Antwerp,Delft,1584,15840907,NA,Dutch,RGP-8
DvdM_238-02,Staten van Brabant,1,Antwerp,Delft,1584,15840907,NA,French,RGP-9
DvdM_237-03,Staten van Brabant,1,Antwerp,Middelburg,1584,15840908,NA,Dutch,RGP-10
