"Inventory","name","count","source","destination","year","date","r_date"
"CL_183-19","Languet, Hubert","1","Cologne","Antwerp","1578","1578-10-09","NA"
"CL_183-20","Languet, Hubert","1","Ghent","Antwerp","1578","1578-12-24","NA"
"DvdM_50-01","Banos, Theophile de","1","Frankfurt","Antwerp","1578","NA","NA"
"DvdM_350-01","Oudenforte, R.","1","Lier","Antwerp","1580","1580-04-02","NA"
"DvdM_334-01","Burmania, Dominiques de","1","Duisburg","Cologne","1580","1580-10-10","NA"
"DvdM_305-01","Albada, Aggaeus de","1","Cologne","Antwerp","1582","1582-03-18","NA"
"DvdM_305-02","Albada, Aggaeus de","1","Cologne","Antwerp","1582","1582-07-29","NA"
"DvdM_548-01","Goyvaerts, Hendrick","1","Frankfurt","Antwerp","1582","1582-09-22","NA"
"DvdM_334-02","Burmania, Dominiques de","1","Haarlem","Antwerp","1582","1582-09-23","NA"
"DvdM_305-03","Albada, Aggaeus de","1","Cologne","Antwerp","1582","1582-10-28","NA"
"DvdM_334-03","Burmania, Dominiques de","1","Haarlem","Antwerp","1582","1582-12-18","NA"
"DvdM_305-04","Albada, Aggaeus de","1","Cologne","Antwerp","1582","1582-12-23","NA"
"DvdM_305-05","Albada, Aggaeus de","1","Cologne","Antwerp","1583","1583-01-27","NA"
"DvdM_438-01","Moyen, Rodericus der","1","NA","Antwerp","1583","1583-02-02","NA"
"DvdM_657-01","Banos, Theophile de","1","Frankfurt","Antwerp","1583","1583-09-29","NA"
"CL_183-02","Lempereur, Antonio","1","Cologne","Antwerp","1584","1584-01-30","NA"
"CL_183-03","Lempereur, Antonio","1","Cologne","Antwerp","1584","1584-02-05","NA"
"CL_183-04","Lempereur, Antonio","1","Cologne","Antwerp","1584","1584-02-26","NA"
"DvdM_237-02","Staten van Brabant","1","Antwerp","Middelburg","1584","1584-08-24","NA"
"DvdM_239-08","Lare, J. van","1","Middelburg","Middelburg","1584","1584-08-29","NA"
"DvdM_239-11","Staten van Brabant","1","Antwerp","Middelburg","1584","1584-09-01","NA"
"DvdM_239-12","Staten van Brabant","1","Antwerp","Middelburg","1584","1584-09-03","NA"
"DvdM_238-01","Staten van Brabant","1","Antwerp","Delft","1584","1584-09-06","NA"
"CL_186-004","Meulen, Andries van der","1","Antwerp","Delft","1584","1584-09-07","NA"
"DvdM_238-02","Staten van Brabant","1","Antwerp","Delft","1584","1584-09-07","NA"
"DvdM_237-03","Staten van Brabant","1","Antwerp","Middelburg","1584","1584-09-08","NA"
"DvdM_237-04","Staten van Brabant","1","Antwerp","Middelburg","1584","1584-09-22","NA"
"DvdM_237-05","Staten van Brabant","1","Antwerp","Delft","1584","1584-09-22","NA"
"DvdM_239-19","Staten van Brabant","1","Antwerp","Delft","1584","1584-09-28","NA"
"DvdM_239-20","Staten van Brabant","1","Antwerp","Delft","1584","1584-10-02","NA"
"DvdM_593a-001","Meulen, Andries van der","1","Antwerp","Delft","1584","1584-10-03","NA"
"DvdM_593a-002","Meulen, Andries van der","1","Antwerp","Delft","1584","1584-10-05","NA"
"DvdM_239-26","Staten van Brabant","1","Antwerp","Delft","1584","1584-10-07","NA"
"DvdM_593a-003","Meulen, Andries van der","1","Antwerp","Delft","1584","1584-10-10","NA"
"DvdM_593a-004","Meulen, Andries van der","1","Antwerp","Delft","1584","1584-10-12","NA"
"DvdM_239-27","Burgemeesters of Antwerp","1","Antwerp","Delft","1584","1584-10-14","NA"
"DvdM_593a-005","Meulen, Andries van der","1","Antwerp","Delft","1584","1584-10-16","NA"
