inventory,writer,source,destination,year,date,rec_date,resp_date,language,notes
CL_183-02,"Lempereur, Antonio",Cologne,Antwerp,1584,15840130,NA,NA,French,
CL_183-03,"Lempereur, Antonio",Cologne,Antwerp,1584,15840205,NA,NA,French,
CL_183-04,"Lempereur, Antonio",Cologne,Antwerp,1584,15840226,NA,NA,French,
CL_183-05,"Lempereur, Antonio",Cologne,Antwerp,1584,15841120,NA,NA,French,RGP-42
CL_183-19,"Languet, Hubert",Cologne,Antwerp,1578,15781009,NA,NA,French,
CL_183-20,"Languet, Hubert",Ghent,Antwerp,1578,15781224,NA,NA,French,"Location is unclear, but must be from Cologne where other letter was from"
CL_186-004,"Meulen, Andries van der",Antwerp,Delft,1584,15840907,NA,NA,Dutch,RGP-8
DvdM_157-02a,"Wale, Jan de",Venice,Haarlem,1585,15850623,NA,NA,Dutch,RGP-140. No listed destination. Letter is a copy. Deals with the rekening of the wool sold in Venice.
DvdM_157-02b,"Wale, Jan de",Venice,Haarlem,1585,15850830,NA,NA,Dutch,RGP-167. No listed destination. Letter is a copy. Deals with the rekening of the wool sold in Venice.
DvdM_218-020,Burgemeesters of Antwerp,Antwerp,The Hague,1585,15850619,NA,NA,Dutch,"RGP-138. No listed destination, but the States General was in The Hague"
DvdM_237-02,Staten van Brabant,Antwerp,Middelburg,1584,15840824,NA,NA,Dutch,RGP-3
DvdM_237-03,Staten van Brabant,Antwerp,Middelburg,1584,15840908,NA,NA,Dutch,RGP-10
DvdM_237-04,Staten van Brabant,Antwerp,Middelburg,1584,15840922,NA,NA,Dutch,RGP-12. Instructions for Daniel at the States of Zeeland.
DvdM_237-05,Staten van Brabant,Antwerp,Delft,1584,15840922,NA,NA,Dutch,RGP-11. Instructions for Daniel at the States of Holland and the States General.
DvdM_238-01,Staten van Brabant,Antwerp,Delft,1584,15840906,NA,NA,French,RGP-7
DvdM_238-02,Staten van Brabant,Antwerp,Delft,1584,15840907,NA,NA,French,RGP-9
