place,lon,lat,admin_area,country,historic_region
Cologne,6.9602786,50.937531,North Rhine-Westphalia,Germany,Germany
Ghent,3.7174243,51.0543422,Flanders,Belgium,Spanish Netherlands
Frankfurt,8.6821267,50.1109221,Hesse,Germany,Germany
Lier,4.5715093,51.1302138,Flanders,Belgium,Spanish Netherlands
Duisburg,6.762329299999999,51.4344079,North Rhine-Westphalia,Germany,Germany
Haarlem,4.6462194,52.3873878,North Holland,Netherlands,Dutch Republic
Antwerp,4.4024643,51.2194475,Flanders,Belgium,Spanish Netherlands
Middelburg,3.610998,51.4987962,Zeeland,Netherlands,Dutch Republic
Dordrecht,4.6900929,51.81329789999999,South Holland,Netherlands,Dutch Republic
Venice,12.3155151,45.4408474,Veneto,Italy,Italy
Lisse,4.5574834,52.25793030000001,South Holland,Netherlands,Dutch Republic
Het Vlie,5.183333,53.3,NA,Netherlands,Dutch Republic
Hamburg,9.9936819,53.5510846,Hamburg,Germany,Germany
Emden,7.2060095,53.35940290000001,Lower Saxony,Germany,Germany
Amsterdam,4.895167900000001,52.3702157,North Holland,Netherlands,Dutch Republic
Bremen,8.8016936,53.07929619999999,Bremen,Germany,Germany
The Hague,4.3006999,52.0704978,South Holland,Netherlands,Dutch Republic
London,-0.1277583,51.5073509,England,United Kingdom,England
Leiden,4.4970097000000004,52.1601144,South Holland,Netherlands,Dutch Republic
Marburg,8.7667933,50.8021728,Hesse,Germany,Germany
Delft,4.3570677,52.01157689999999,South Holland,Netherlands,Dutch Republic
Vlissingen,3.5709125,51.4536672,Zeeland,Netherlands,Dutch Republic
Stade,9.4709494,53.59286179999999,Lower Saxony,Germany,Germany
Lille,3.057256,50.62925,Hauts-de-France,France,France
Caen,-0.370679,49.182863,Normandy,France,France
Helmstedt Brunswick,11.0026528,52.23644969999999,Niedersachsen,Germany,Germany
Nuremberg,11.0766654,49.4521018,Bavaria,Germany,Germany
Dieppe,1.077483,49.922992,Normandy,France,France
Halberstadt,11.0496159,51.89487090000001,Saxony-Anhalt,Germany,Germany
Naples,14.2681244,40.8517746,Campania,Italy,Italy
Wesel,6.6295679,51.6643079,North Rhine-Westphalia,Germany,Germany
Newbury,-1.3231139,51.401409,England,United Kingdom,England
Verona,10.9916215,45.43838419999999,Veneto,Italy,Italy
Vicenza,11.5354214,45.5454787,Veneto,Italy,Italy
Bergen op Zoom,4.2871622,51.49457580000001,North Brabant,Netherlands,Dutch Republic
Brunswick,10.5267696,52.2688736,Lower Saxony,Germany,Germany
Utrecht,5.1214201,52.09073739999999,Utrecht,Netherlands,Dutch Republic
