placename,lat,lng,oc_formatted,oc_country,oc_state,historic_region
Aachen,50.776351,6.083862,"Aachen, North Rhine-Westphalia, Germany",Germany,North Rhine-Westphalia,Holy Roman Empire
Amsterdam,52.3730796,4.8924534,"Amsterdam, North Holland, Netherlands",Netherlands,North Holland,Dutch Republic
Antwerp,51.2211097,4.3997081,"Antwerp, Belgium",Belgium,Antwerp,Spanish Netherlands
Augsburg,48.3690341,10.8979522,"Augsburg, Bavaria, Germany",Germany,Bavaria,Holy Roman Empire
Bergen op Zoom,51.4944756,4.2871541,"Bergen op Zoom, North Brabant, Netherlands",Netherlands,North Brabant,Dutch Republic
Breda,51.5887845,4.7760237,"Breda, North Brabant, Netherlands",Netherlands,North Brabant,Dutch Republic
Bremen,53.0758196,8.8071646,"Bremen, Germany",Germany,Bremen,Holy Roman Empire
Brunswick,52.2646577,10.5236066,"Brunswick, Lower Saxony, Germany",Germany,Lower Saxony,Holy Roman Empire
Brussels,50.8465573,4.351697,"Brussels, Brussels-Capital, Belgium",Belgium,NA,Spanish Netherlands
Caen,49.1813403,-0.3635615,"Caen, Calvados, France",France,Normandy,France
Cape Lopez,-0.62106,8.71507,"l’Ogooué-Maritime, Gabon",Gabon,l’Ogooué-Maritime,Africa
Cologne,50.938361,6.959974,"Cologne, North Rhine-Westphalia, Germany",Germany,North Rhine-Westphalia,Holy Roman Empire
Delft,52.0114017,4.35839,"Delft, South Holland, Netherlands",Netherlands,South Holland,Dutch Republic
Dieppe,49.9246182,1.0791444,"Dieppe, Seine-Maritime, France",France,Normandy,France
Dordrecht,51.814429,4.6692438,"Dordrecht, South Holland, Netherlands",Netherlands,South Holland,Dutch Republic
Duisburg,51.434999,6.759562,"Duisburg, North Rhine-Westphalia, Germany",Germany,North Rhine-Westphalia,Holy Roman Empire
Emden,53.3670541,7.2058304,"Emden, Lower Saxony, Germany",Germany,Lower Saxony,Holy Roman Empire
Frankfurt,50.1106444,8.6820917,"Frankfurt, Hesse, Germany",Germany,Hesse,Holy Roman Empire
Ghent,51.0538286,3.7250121,"Ghent, Gent, Belgium",Belgium,East Flanders,Spanish Netherlands
Goedereede,51.8181316,3.9776752,"Goedereede, South Holland, Netherlands",Netherlands,South Holland,Dutch Republic
Gorkum,51.8296133,4.9738743,"Gorinchem, South Holland, Netherlands",Netherlands,South Holland,Dutch Republic
Gravesend,51.4424747,0.3694468,"Gravesend, Kent, England, United Kingdom",United Kingdom,England,England
Haarlem,52.3837058,4.6435597,"Haarlem, North Holland, Netherlands",Netherlands,North Holland,Dutch Republic
Halberstadt,51.8953514,11.0520563,"38820 Halberstadt, Germany",Germany,Saxony-Anhalt,Holy Roman Empire
Hamburg,53.550341,10.000654,"Hamburg, Germany",Germany,Hamburg,Holy Roman Empire
Harlingen,53.1752103,5.4141998,"Harlingen, Frisia, Netherlands",Netherlands,Frisia,Dutch Republic
Heidelberg,49.4093582,8.694724,"Heidelberg, Baden-Württemberg, Germany",Germany,Baden-Württemberg,Holy Roman Empire
Helmstedt,52.2277037,11.0104702,"Helmstedt, Lower Saxony, Germany",Germany,Lower Saxony,Holy Roman Empire
Huisduinen,52.9439933,4.7217783,"Huisduinen, Den Helder, North Holland, Netherlands",Netherlands,North Holland,Dutch Republic
Leeuwarden,53.2005936,5.7918548,"Leeuwarden, Frisia, Netherlands",Netherlands,Frisia,Dutch Republic
Leiden,52.1594747,4.4908843,"Leiden, South Holland, Netherlands",Netherlands,South Holland,Dutch Republic
Leipzig,51.3406321,12.3747329,"Leipzig, Saxony, Germany",Germany,Saxony,Holy Roman Empire
Lier,51.131069,4.5696516,"2500 Lier, Belgium",Belgium,Antwerp,Spanish Netherlands
Lille,50.6365654,3.0635282,"Lille, Nord, France",France,Hauts-de-France,France
Lisse,52.2576098,4.5630329,"Lisse, South Holland, Netherlands",Netherlands,South Holland,Dutch Republic
London,51.5074456,-0.1277653,"London, United Kingdom",United Kingdom,England,England
